site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
alt,1998.596330,19980806 1550,285.820,1.863,11.720,0.010,1998-08-06 15:50:00+00:00,2.628,177.844
alt,1998.615390,19980813 1450,207.000,3.600,11.330,0.070,1998-08-13 14:50:00+00:00,3.502,192.667
alt,1998.692100,19980910 1449,209.090,22.639,11.050,0.150,1998-09-10 14:49:00+00:00,3.782,178.367
alt,1998.711740,19980917 1849,241.600,3.630,11.350,0.060,1998-09-17 18:49:00+00:00,1.210,249.817
alt,1998.730450,19980924 1447,219.200,6.468,11.020,0.030,1998-09-24 14:47:00+00:00,3.240,206.650
alt,1998.749740,19981001 1545,172.770,1.323,11.460,0.250,1998-10-01 15:45:00+00:00,2.130,236.499
alt,1998.788100,19981015 1547,315.970,2.891,11.480,0.120,1998-10-15 15:47:00+00:00,3.990,304.866
alt,1998.807160,19981022 1443,186.800,3.773,11.720,0.110,1998-10-22 14:43:00+00:00,2.406,209.433
alt,1998.845890,19981105 1801,100.700,0.686,11.690,0.080,1998-11-05 18:01:00+00:00,0.318,161.081
alt,1998.864800,19981112 1537,334.010,0.686,12.020,0.060,1998-11-12 15:37:00+00:00,3.412,230.084
alt,1998.906250,19981127 1847,246.140,1.225,11.880,0.250,1998-11-27 18:47:00+00:00,1.589,256.083
alt,1998.922810,19981203 1950,248.000,10.500,11.990,0.240,1998-12-03 19:50:00+00:00,7.730,217.833
alt,1998.944390,19981211 1652,20.053,2.989,12.070,0.120,1998-12-11 16:52:00+00:00,5.129,342.733
alt,1999.059460,19990122 1651,223.030,6.125,12.230,0.050,1999-01-22 16:51:00+00:00,2.872,234.150
alt,1999.116970,19990212 1637,201.130,1.323,12.020,0.020,1999-02-12 16:37:00+00:00,1.719,296.467
alt,1999.133440,19990218 1656,269.100,3.695,11.940,0.030,1999-02-18 16:56:00+00:00,3.352,218.734
alt,1999.171750,19990304 1633,292.830,1.323,12.150,0.040,1999-03-04 16:33:00+00:00,2.661,282.100
alt,1999.191190,19990311 1850,206.810,14.063,12.060,0.090,1999-03-11 18:50:00+00:00,7.777,203.833
alt,1999.210230,19990318 1739,323.600,0.490,12.140,0.080,1999-03-18 17:39:00+00:00,0.918,278.050
alt,1999.325070,19990429 1538,301.650,1.078,11.890,0.190,1999-04-29 15:38:00+00:00,4.067,357.900
alt,1999.382740,19990520 1648,349.570,1.029,12.000,0.100,1999-05-20 16:48:00+00:00,2.558,344.200
alt,1999.401890,19990527 1633,354.241,0.686,12.130,0.230,1999-05-27 16:33:00+00:00,2.900,2.000
alt,1999.478500,19990624 1539,352.090,2.646,12.260,0.210,1999-06-24 15:39:00+00:00,3.184,347.250
alt,1999.498060,19990701 1859,306.400,2.303,11.900,0.120,1999-07-01 18:59:00+00:00,0.457,297.295
alt,1999.519640,19990709 1603,11.218,3.577,11.820,0.090,1999-07-09 16:03:00+00:00,4.391,356.900
alt,1999.593470,19990805 1448,325.480,2.156,12.110,0.260,1999-08-05 14:48:00+00:00,1.760,73.983
alt,1999.613100,19990812 1843,3.128,1.568,12.300,0.500,1999-08-12 18:43:00+00:00,4.089,5.433
alt,1999.766520,19991007 1845,256.300,1.568,12.750,0.110,1999-10-07 18:45:00+00:00,1.853,240.250
alt,1999.785230,19991014 1439,283.680,0.245,12.570,0.010,1999-10-14 14:39:00+00:00,2.440,235.000
alt,1999.802450,19991020 2127,249.540,9.359,12.540,0.040,1999-10-20 21:27:00+00:00,3.572,226.550
alt,1999.862090,19991111 1556,23.000,5.096,12.820,0.220,1999-11-11 15:56:00+00:00,4.521,188.067
alt,2000.013850,20000106 0137,282.010,1.764,12.950,0.010,2000-01-06 01:37:00+00:00,1.595,262.617
alt,2000.034570,20000113 1540,110.730,2.401,12.850,0.010,2000-01-13 15:40:00+00:00,3.700,257.307
alt,2000.075580,20000128 1552,185.340,1.715,13.060,0.040,2000-01-28 15:52:00+00:00,2.620,223.000
alt,2000.111200,20000210 1648,287.740,1.421,13.000,0.030,2000-02-10 16:48:00+00:00,2.036,238.598
alt,2000.130190,20000217 1536,222.440,1.029,13.600,0.000,2000-02-17 15:36:00+00:00,1.846,248.399
alt,2000.171190,20000303 1545,188.780,1.764,13.020,0.360,2000-03-03 15:45:00+00:00,1.255,293.250
alt,2000.206700,20000316 1538,251.050,0.441,13.110,0.120,2000-03-16 15:38:00+00:00,2.676,189.664
alt,2000.245060,20000330 1638,73.531,1.078,13.290,0.040,2000-03-30 16:38:00+00:00,2.035,221.000
alt,2000.264090,20000406 1545,219.980,0.833,13.120,0.200,2000-04-06 15:45:00+00:00,0.645,121.472
alt,2000.285950,20000414 1546,350.680,1.078,13.500,0.270,2000-04-14 15:46:00+00:00,0.913,67.601
alt,2000.302220,20000420 1440,249.100,1.372,13.220,0.130,2000-04-20 14:40:00+00:00,0.900,92.573
alt,2000.343190,20000505 1437,148.790,0.833,13.950,0.240,2000-05-05 14:37:00+00:00,1.510,98.000
alt,2000.359580,20000511 1433,260.920,6.125,13.020,0.260,2000-05-11 14:33:00+00:00,3.073,226.602
alt,2000.436200,20000608 1536,268.100,1.708,13.240,0.400,2000-06-08 15:36:00+00:00,2.008,135.000
alt,2000.512690,20000706 1529,228.530,8.673,13.240,0.070,2000-07-06 15:29:00+00:00,9.281,205.483
alt,2000.534780,20000714 1733,352.710,6.223,13.410,0.400,2000-07-14 17:33:00+00:00,6.248,347.100
alt,2000.671450,20000902 1800,123.110,2.940,13.120,0.090,2000-09-02 18:00:00+00:00,2.060,209.000
alt,2000.837890,20001102 1603,256.560,0.294,13.760,0.060,2000-11-02 16:03:00+00:00,2.830,278.000
alt,2000.859630,20001110 1502,206.190,4.410,13.810,0.200,2000-11-10 15:02:00+00:00,3.283,210.967
alt,2000.897880,20001124 1500,319.840,1.176,13.860,0.080,2000-11-24 15:00:00+00:00,2.690,211.000
alt,2000.933520,20001207 1603,193.700,2.058,13.880,0.100,2000-12-07 16:03:00+00:00,2.822,242.900
alt,2000.971640,20001221 1452,239.160,1.237,13.860,0.010,2000-12-21 14:52:00+00:00,2.255,257.666
alt,2001.086730,20010201 1543,196.430,1.569,13.920,0.020,2001-02-01 15:43:00+00:00,2.470,271.608
alt,2001.108950,20010209 1825,76.484,0.588,14.480,0.310,2001-02-09 18:25:00+00:00,1.980,225.000
alt,2001.163340,20010301 1453,160.870,2.156,14.140,0.060,2001-03-01 14:53:00+00:00,1.738,256.883
alt,2001.189120,20010311 0043,247.570,0.980,14.170,0.030,2001-03-11 00:43:00+00:00,1.034,234.327
alt,2001.358210,20010511 1755,281.380,1.078,14.050,0.070,2001-05-11 17:55:00+00:00,1.927,27.917
alt,2001.508470,20010705 1411,223.320,9.359,13.900,0.150,2001-07-05 14:11:00+00:00,5.317,208.829
alt,2001.550060,20010720 1832,342.260,1.666,13.860,0.190,2001-07-20 18:32:00+00:00,3.152,132.133
alt,2001.566260,20010726 1626,88.526,23.699,14.010,0.320,2001-07-26 16:26:00+00:00,3.663,48.867
alt,2001.604490,20010809 1520,35.591,1.127,14.120,0.170,2001-08-09 15:20:00+00:00,3.867,359.667
alt,2001.645510,20010824 1441,310.700,1.029,14.200,0.280,2001-08-24 14:41:00+00:00,1.849,351.950
alt,2001.664690,20010831 1441,0.147,8.589,13.930,0.200,2001-08-31 14:41:00+00:00,4.695,350.633
alt,2001.683770,20010907 1352,257.600,1.372,14.030,0.210,2001-09-07 13:52:00+00:00,1.187,299.936
alt,2001.700300,20010913 1440,246.330,2.352,14.330,0.030,2001-09-13 14:40:00+00:00,0.633,149.639
alt,2001.719460,20010920 1427,235.760,0.245,14.360,0.020,2001-09-20 14:27:00+00:00,1.460,267.398
alt,2001.738650,20010927 1436,234.290,2.646,14.770,0.060,2001-09-27 14:36:00+00:00,3.312,240.000
alt,2001.777010,20011011 1437,189.130,3.234,14.310,0.160,2001-10-11 14:37:00+00:00,2.523,228.767
alt,2001.796410,20011018 1635,190.600,1.861,14.470,0.050,2001-10-18 16:35:00+00:00,1.123,171.243
alt,2001.816020,20011025 2020,160.820,3.234,14.950,0.290,2001-10-25 20:20:00+00:00,2.127,237.666
alt,2001.835130,20011101 1946,211.200,1.864,14.720,0.080,2001-11-01 19:46:00+00:00,2.326,262.672
alt,2001.859310,20011110 1535,62.010,2.055,15.230,0.030,2001-11-10 15:35:00+00:00,5.833,309.083
alt,2001.873000,20011115 1530,180.320,2.451,14.840,0.030,2001-11-15 15:30:00+00:00,1.735,236.500
alt,2001.892220,20011122 1550,8.330,6.071,14.780,0.030,2001-11-22 15:50:00+00:00,8.570,340.000
alt,2001.930650,20011206 1630,345.150,4.410,14.810,0.150,2001-12-06 16:30:00+00:00,4.250,317.000
alt,2001.971670,20011221 1549,243.640,4.410,14.420,0.200,2001-12-21 15:49:00+00:00,3.127,207.354
alt,2001.996380,20011230 1618,230.640,11.711,14.510,0.270,2001-12-30 16:18:00+00:00,4.740,205.000
alt,2002.010040,20020104 1555,185.990,1.427,14.810,0.060,2002-01-04 15:55:00+00:00,2.417,271.501
alt,2002.029270,20020111 1625,29.698,3.381,14.690,0.090,2002-01-11 16:25:00+00:00,3.469,294.833
alt,2002.048430,20020118 1617,291.170,1.127,15.290,0.330,2002-01-18 16:17:00+00:00,7.581,331.283
alt,2002.067830,20020125 1811,313.990,1.764,14.940,0.010,2002-01-25 18:11:00+00:00,3.125,313.282
alt,2002.141520,20020221 1542,271.980,1.911,14.630,0.130,2002-02-21 15:42:00+00:00,2.038,235.000
alt,2002.160710,20020228 1548,229.940,8.722,14.820,0.140,2002-02-28 15:48:00+00:00,3.328,208.800
alt,2002.182910,20020308 1820,202.800,5.390,14.780,0.050,2002-03-08 18:20:00+00:00,2.473,223.334
alt,2002.796280,20021018 1524,190.000,3.200,14.850,0.140,2002-10-18 15:24:00+00:00,1.574,281.801
alt,2002.831950,20021031 1555,264.000,1.400,14.770,0.040,2002-10-31 15:55:00+00:00,2.612,301.750
alt,2002.850990,20021107 1438,185.000,3.600,15.010,0.290,2002-11-07 14:38:00+00:00,2.336,253.664
alt,2002.870220,20021114 1509,169.000,3.300,14.880,0.480,2002-11-14 15:09:00+00:00,0.680,174.819
alt,2002.892120,20021122 1500,196.000,1.200,14.930,0.180,2002-11-22 15:00:00+00:00,2.450,258.000
alt,2002.927750,20021205 1505,0.000,0.000,15.020,0.020,2002-12-05 15:05:00+00:00,2.445,309.917
alt,2002.966130,20021219 1519,261.000,1.400,15.830,0.220,2002-12-19 15:19:00+00:00,1.517,234.837
alt,2002.985270,20021226 1500,191.000,3.400,14.970,0.030,2002-12-26 15:00:00+00:00,2.240,260.000
