site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
hfm,2021.722420,20210921 1625,156.000,2.000,22.810,0.040,2021-09-21 16:25:00+00:00,3.367,162.167
hfm,2021.744500,20210929 1750,342.000,1.800,22.170,0.010,2021-09-29 17:50:00+00:00,3.928,339.833
hfm,2021.769260,20211008 1845,79.000,2.000,22.770,0.020,2021-10-08 18:45:00+00:00,2.058,92.753
hfm,2021.785500,20211014 1700,299.000,1.400,23.110,0.050,2021-10-14 17:00:00+00:00,2.980,346.000
hfm,2021.799030,20211019 1530,280.000,2.500,22.160,0.040,2021-10-19 15:30:00+00:00,4.750,288.500
hfm,2021.845500,20211105 1435,286.000,1.800,22.410,0.170,2021-11-05 14:35:00+00:00,2.388,348.167
hfm,2021.856830,20211109 1750,256.000,1.800,23.500,0.010,2021-11-09 17:50:00+00:00,2.260,283.000
hfm,2021.876200,20211116 1930,265.000,2.600,22.470,0.030,2021-11-16 19:30:00+00:00,5.565,274.500
hfm,2021.895010,20211123 1615,309.000,2.500,22.320,0.040,2021-11-23 16:15:00+00:00,5.290,322.000
hfm,2021.916950,20211201 1630,265.000,2.000,22.530,0.000,2021-12-01 16:30:00+00:00,5.820,279.000
hfm,2021.958030,20211216 1620,188.000,2.000,23.870,0.000,2021-12-16 16:20:00+00:00,4.187,197.003
hfm,2022.007710,20220103 1930,333.000,1.200,22.580,0.020,2022-01-03 19:30:00+00:00,3.940,12.500
hfm,2022.029660,20220111 1950,306.000,1.900,22.170,0.020,2022-01-11 19:50:00+00:00,2.923,312.500
hfm,2022.056560,20220121 1530,344.000,0.800,22.360,0.100,2022-01-21 15:30:00+00:00,3.040,350.500
hfm,2022.108770,20220209 1650,207.000,2.200,22.080,0.070,2022-02-09 16:50:00+00:00,1.465,215.296
hfm,2022.130540,20220217 1530,213.000,3.800,22.550,0.030,2022-02-17 15:30:00+00:00,7.535,212.500
hfm,2022.171780,20220304 1650,241.000,2.700,22.140,0.000,2022-03-04 16:50:00+00:00,2.832,241.666
hfm,2022.182910,20220308 1815,272.000,3.800,21.930,0.070,2022-03-08 18:15:00+00:00,6.777,296.500
hfm,2022.243170,20220330 1810,274.000,1.700,22.040,0.070,2022-03-30 18:10:00+00:00,2.763,275.190
hfm,2022.259380,20220405 1610,215.000,2.100,22.260,0.060,2022-04-05 16:10:00+00:00,2.033,252.810
hfm,2022.284110,20220414 1650,121.000,1.200,22.750,0.070,2022-04-14 16:50:00+00:00,2.592,125.704
hfm,2022.305900,20220422 1540,300.000,3.800,22.550,0.040,2022-04-22 15:40:00+00:00,6.087,312.338
hfm,2022.336190,20220503 1700,78.000,1.500,22.480,0.020,2022-05-03 17:00:00+00:00,2.970,110.000
hfm,2022.360850,20220512 1700,140.000,1.900,21.710,0.010,2022-05-12 17:00:00+00:00,2.680,117.000
hfm,2022.377170,20220518 1600,319.000,2.500,22.050,0.150,2022-05-18 16:00:00+00:00,4.320,312.000
hfm,2022.399180,20220526 1650,191.000,3.400,22.350,0.090,2022-05-26 16:50:00+00:00,5.275,185.334
hfm,2022.473260,20220622 1745,260.000,0.300,22.540,0.050,2022-06-22 17:45:00+00:00,3.550,146.249
hfm,2022.514300,20220707 1715,219.000,1.400,22.330,0.170,2022-07-07 17:15:00+00:00,1.275,234.020
hfm,2022.525110,20220711 1600,197.000,1.900,24.010,0.050,2022-07-11 16:00:00+00:00,3.320,224.000
hfm,2022.546920,20220719 1500,259.000,2.000,22.270,0.030,2022-07-19 15:00:00+00:00,3.710,267.000
hfm,2022.566300,20220726 1645,252.000,1.100,22.060,0.020,2022-07-26 16:45:00+00:00,2.988,261.250
hfm,2022.588010,20220803 1500,295.000,1.000,22.150,0.040,2022-08-03 15:00:00+00:00,1.060,319.000
hfm,2022.629050,20220818 1430,277.000,2.000,22.030,0.050,2022-08-18 14:30:00+00:00,4.815,282.000
hfm,2022.662290,20220830 1740,182.000,2.700,23.640,0.260,2022-08-30 17:40:00+00:00,4.793,201.333
hfm,2022.686700,20220908 1530,18.000,1.400,22.350,0.010,2022-09-08 15:30:00+00:00,2.835,32.000
hfm,2022.703140,20220914 1530,251.000,1.600,22.460,0.030,2022-09-14 15:30:00+00:00,4.950,290.000
hfm,2022.744500,20220929 1750,325.000,1.800,22.030,0.010,2022-09-29 17:50:00+00:00,3.505,346.000
hfm,2022.763490,20221006 1610,312.000,0.800,22.900,0.010,2022-10-06 16:10:00+00:00,1.382,347.500
hfm,2022.785500,20221014 1700,291.000,1.500,21.980,0.060,2022-10-14 17:00:00+00:00,1.880,295.000
hfm,2022.804420,20221021 1445,236.000,1.500,22.100,0.060,2022-10-21 14:45:00+00:00,1.680,237.760
hfm,2022.820660,20221027 1300,281.000,1.700,22.410,0.000,2022-10-27 13:00:00+00:00,4.920,294.000
hfm,2022.842750,20221104 1430,203.000,3.100,22.690,0.000,2022-11-04 14:30:00+00:00,2.930,205.000
hfm,2022.859190,20221110 1430,230.000,2.400,23.370,0.020,2022-11-10 14:30:00+00:00,4.020,212.000
hfm,2022.859470,20221110 1700,214.000,2.300,23.450,0.160,2022-11-10 17:00:00+00:00,4.300,216.000
hfm,2022.873060,20221115 1600,283.000,1.700,21.910,0.060,2022-11-15 16:00:00+00:00,0.580,301.000
hfm,2022.892370,20221122 1710,259.000,2.000,22.070,0.030,2022-11-22 17:10:00+00:00,2.265,235.028
hfm,2022.911640,20221129 1800,143.000,1.400,21.920,0.000,2022-11-29 18:00:00+00:00,1.170,149.000
hfm,2022.927870,20221205 1610,184.000,3.300,22.280,0.010,2022-12-05 16:10:00+00:00,4.370,195.500
hfm,2022.949710,20221213 1530,326.000,1.400,22.050,0.040,2022-12-13 15:30:00+00:00,3.555,327.500
hfm,2022.969040,20221220 1650,328.000,2.100,22.160,0.030,2022-12-20 16:50:00+00:00,3.940,329.833
hfm,2023.009700,20230104 1300,197.000,0.600,22.960,0.030,2023-01-04 13:00:00+00:00,1.350,42.000
hfm,2023.026600,20230110 1700,288.000,2.200,21.860,0.120,2023-01-10 17:00:00+00:00,3.260,310.000
hfm,2023.045810,20230117 1720,297.000,1.700,21.810,0.040,2023-01-17 17:20:00+00:00,1.873,257.104
hfm,2023.067670,20230125 1645,158.000,0.700,22.080,0.050,2023-01-25 16:45:00+00:00,1.838,166.247
hfm,2023.086850,20230201 1650,277.000,1.900,21.820,0.000,2023-02-01 16:50:00+00:00,2.922,282.667
hfm,2023.106200,20230208 1820,287.000,3.200,21.730,0.010,2023-02-08 18:20:00+00:00,5.097,298.335
hfm,2023.127990,20230216 1710,266.000,2.000,21.910,0.020,2023-02-16 17:10:00+00:00,3.415,269.156
hfm,2023.182720,20230308 1640,327.000,3.000,21.840,0.030,2023-03-08 16:40:00+00:00,5.050,337.333
hfm,2023.196290,20230313 1530,96.000,2.200,21.880,0.020,2023-03-13 15:30:00+00:00,4.080,118.000
hfm,2023.215580,20230320 1630,198.000,4.000,21.860,0.040,2023-03-20 16:30:00+00:00,4.955,232.000
hfm,2023.245380,20230331 1330,209.000,1.200,22.000,0.000,2023-03-31 13:30:00+00:00,1.510,208.500
hfm,2023.253880,20230403 1600,208.000,3.500,21.950,0.000,2023-04-03 16:00:00+00:00,5.320,192.000
hfm,2023.273290,20230410 1800,281.000,2.300,21.770,0.020,2023-04-10 18:00:00+00:00,1.800,267.000
hfm,2023.300650,20230420 1740,285.000,2.300,21.910,0.080,2023-04-20 17:40:00+00:00,2.770,279.667
hfm,2023.316670,20230426 1400,197.000,1.300,22.040,0.020,2023-04-26 14:00:00+00:00,0.800,90.000
hfm,2023.330860,20230501 1820,206.000,2.900,22.020,0.040,2023-05-01 18:20:00+00:00,5.840,210.335
hfm,2023.349790,20230508 1610,300.000,2.700,21.910,0.120,2023-05-08 16:10:00+00:00,4.853,312.167
