site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
cgo,2021.268640,20210409 0118,208.000,11.900,21.150,0.080,2021-04-09 01:18:00+00:00,7.820,216.900
cgo,2021.268770,20210409 0227,217.000,11.800,21.070,0.090,2021-04-09 02:27:00+00:00,7.432,219.900
cgo,2021.285370,20210415 0348,250.000,17.700,20.960,0.010,2021-04-15 03:48:00+00:00,10.148,238.200
cgo,2021.304370,20210422 0217,276.000,15.800,21.100,0.010,2021-04-22 02:17:00+00:00,9.303,265.584
cgo,2021.318020,20210427 0152,203.000,9.600,21.180,0.100,2021-04-27 01:52:00+00:00,5.179,226.000
cgo,2021.364710,20210514 0251,239.000,13.600,20.920,0.110,2021-05-14 02:51:00+00:00,8.292,232.101
cgo,2021.364880,20210514 0422,242.000,12.800,21.100,0.060,2021-05-14 04:22:00+00:00,7.887,237.833
cgo,2021.381070,20210520 0212,229.000,12.700,21.080,0.060,2021-05-20 02:12:00+00:00,7.016,225.800
cgo,2021.397520,20210526 0216,245.000,18.700,21.190,0.010,2021-05-26 02:16:00+00:00,10.641,242.401
cgo,2021.422110,20210604 0142,218.000,13.400,21.070,0.020,2021-06-04 01:42:00+00:00,9.284,217.700
cgo,2021.422350,20210604 0349,213.000,16.400,20.930,0.080,2021-06-04 03:49:00+00:00,8.994,221.000
cgo,2021.507190,20210705 0258,227.000,9.300,21.020,0.000,2021-07-05 02:58:00+00:00,6.167,242.800
cgo,2021.507300,20210705 0358,233.000,10.400,21.170,0.010,2021-07-05 03:58:00+00:00,6.218,242.033
cgo,2021.550930,20210721 0210,248.000,14.300,21.060,0.030,2021-07-21 02:10:00+00:00,6.143,241.167
cgo,2021.589460,20210804 0342,258.000,15.000,21.110,0.070,2021-08-04 03:42:00+00:00,8.019,247.499
cgo,2021.589600,20210804 0452,247.000,16.500,21.100,0.080,2021-08-04 04:52:00+00:00,9.083,241.666
cgo,2021.611430,20210812 0405,271.000,12.400,21.120,0.040,2021-08-12 04:05:00+00:00,7.857,260.250
cgo,2021.625060,20210817 0330,204.000,9.500,21.020,0.000,2021-08-17 03:30:00+00:00,7.630,214.500
cgo,2021.717980,20210920 0132,245.000,14.800,21.020,0.010,2021-09-20 01:32:00+00:00,9.239,243.000
cgo,2021.759080,20211005 0131,242.000,19.400,21.000,0.010,2021-10-05 01:31:00+00:00,10.351,241.967
cgo,2021.838510,20211103 0120,199.000,10.300,21.170,0.000,2021-11-03 01:20:00+00:00,3.807,51.460
cgo,2021.841410,20211104 0243,198.000,10.100,21.110,0.020,2021-11-04 02:43:00+00:00,5.755,221.150
cgo,2021.860400,20211111 0105,201.000,12.900,21.120,0.090,2021-11-11 01:05:00+00:00,7.389,208.501
cgo,2021.874100,20211116 0109,215.000,8.500,21.000,0.050,2021-11-16 01:09:00+00:00,6.135,232.150
cgo,2021.899160,20211125 0437,195.000,15.200,20.960,0.020,2021-11-25 04:37:00+00:00,7.765,205.383
cgo,2021.920620,20211203 0037,208.000,8.500,21.030,0.080,2021-12-03 00:37:00+00:00,5.641,232.467
cgo,2021.920810,20211203 0217,228.000,8.400,21.080,0.020,2021-12-03 02:17:00+00:00,5.521,238.699
cgo,2021.953880,20211215 0358,227.000,11.600,20.990,0.040,2021-12-15 03:58:00+00:00,7.974,227.033
cgo,2021.972840,20211222 0206,223.000,10.400,20.960,0.050,2021-12-22 02:06:00+00:00,6.571,231.800
cgo,2022.044050,20220117 0155,222.000,11.300,20.780,0.020,2022-01-17 01:55:00+00:00,6.938,235.000
cgo,2022.044180,20220117 0303,219.000,13.200,20.820,0.000,2022-01-17 03:03:00+00:00,6.868,239.150
cgo,2022.074310,20220128 0257,210.000,7.900,20.850,0.080,2022-01-28 02:57:00+00:00,5.346,246.200
cgo,2022.087870,20220202 0142,188.000,9.800,20.890,0.000,2022-02-02 01:42:00+00:00,6.076,228.501
cgo,2022.221960,20220323 0021,227.000,14.500,20.890,0.140,2022-03-23 00:21:00+00:00,8.780,233.551
cgo,2022.222090,20220323 0133,230.000,14.400,20.850,0.090,2022-03-23 01:33:00+00:00,8.744,230.100
cgo,2022.238580,20220329 0156,227.000,9.800,20.800,0.000,2022-03-29 01:56:00+00:00,4.735,245.133
cgo,2022.274200,20220411 0201,199.000,10.400,20.810,0.040,2022-04-11 02:01:00+00:00,6.555,218.017
cgo,2022.298870,20220420 0205,244.000,14.200,20.770,0.010,2022-04-20 02:05:00+00:00,8.013,242.250
cgo,2022.298990,20220420 0310,255.000,12.300,20.840,0.070,2022-04-20 03:10:00+00:00,7.678,245.333
cgo,2022.375690,20220518 0305,234.000,18.300,20.880,0.010,2022-05-18 03:05:00+00:00,10.414,240.418
cgo,2022.375830,20220518 0414,236.000,17.400,20.850,0.100,2022-05-18 04:14:00+00:00,10.091,233.300
cgo,2022.411210,20220531 0210,251.000,19.500,20.890,0.030,2022-05-31 02:10:00+00:00,10.263,243.167
cgo,2022.433330,20220608 0400,243.000,14.300,20.810,0.100,2022-06-08 04:00:00+00:00,8.940,234.000
cgo,2022.477260,20220624 0449,257.000,11.300,20.810,0.040,2022-06-24 04:49:00+00:00,7.257,257.267
cgo,2022.512450,20220707 0106,251.000,12.200,20.840,0.000,2022-07-07 01:06:00+00:00,6.952,250.200
