site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
brw,2021.089780,20210202 1829,69.200,6.200,22.170,0.090,2021-02-02 18:29:00+00:00,7.618,70.967
brw,2021.106310,20210208 1916,71.800,4.200,22.160,0.030,2021-02-08 19:16:00+00:00,4.017,68.000
brw,2021.136380,20210219 1839,269.100,7.000,22.510,0.090,2021-02-19 18:39:00+00:00,5.873,271.400
brw,2021.144640,20210222 1902,88.900,2.600,22.430,0.160,2021-02-22 19:02:00+00:00,3.199,76.033
brw,2021.174650,20210305 1754,113.100,8.000,22.270,0.030,2021-03-05 17:54:00+00:00,6.311,109.600
brw,2021.194200,20210312 2114,135.200,6.700,22.340,0.080,2021-03-12 21:14:00+00:00,7.707,157.300
brw,2021.202110,20210315 1830,80.000,8.000,22.280,0.120,2021-03-15 18:30:00+00:00,9.615,99.000
brw,2021.226900,20210324 1937,91.500,3.300,22.230,0.000,2021-03-24 19:37:00+00:00,3.144,101.264
brw,2021.240640,20210329 1958,81.000,10.700,22.270,0.000,2021-03-29 19:58:00+00:00,11.326,86.100
brw,2021.270770,20210409 1955,263.700,4.900,22.420,0.090,2021-04-09 19:55:00+00:00,5.408,254.750
brw,2021.278930,20210412 1926,73.100,5.800,22.290,0.100,2021-04-12 19:26:00+00:00,6.403,90.700
brw,2021.309000,20210423 1851,137.500,2.200,22.230,0.030,2021-04-23 18:51:00+00:00,2.441,172.048
brw,2021.317250,20210426 1905,76.000,7.100,22.280,0.030,2021-04-26 19:05:00+00:00,11.112,94.584
brw,2021.347370,20210507 1858,79.000,4.800,22.210,0.020,2021-05-07 18:58:00+00:00,7.736,83.067
brw,2021.355580,20210510 1855,78.200,5.600,22.080,0.020,2021-05-10 18:55:00+00:00,7.606,95.083
brw,2021.378080,20210519 0000,111.000,3.100,22.410,0.070,2021-05-19 00:00:00+00:00,3.540,106.000
brw,2021.404900,20210528 1857,20.000,3.500,22.240,0.020,2021-05-28 18:57:00+00:00,4.576,357.800
brw,2021.418770,20210602 2025,68.000,10.700,22.260,0.020,2021-06-02 20:25:00+00:00,9.938,69.000
brw,2021.432300,20210607 1857,93.000,9.900,22.220,0.020,2021-06-07 18:57:00+00:00,9.412,95.050
brw,2021.459980,20210617 2126,100.000,5.000,22.460,0.050,2021-06-17 21:26:00+00:00,4.865,120.000
brw,2021.481680,20210625 1931,22.000,7.200,22.120,0.000,2021-06-25 19:31:00+00:00,7.411,41.067
brw,2021.501360,20210702 2353,73.700,8.000,22.140,0.100,2021-07-02 23:53:00+00:00,9.730,81.000
brw,2021.509630,20210706 0021,98.400,5.300,22.110,0.050,2021-07-06 00:21:00+00:00,5.320,85.000
brw,2021.536360,20210715 1830,100.000,9.200,22.190,0.010,2021-07-15 18:30:00+00:00,6.265,116.500
brw,2021.550180,20210720 1933,47.000,9.800,22.040,0.010,2021-07-20 19:33:00+00:00,6.912,53.948
brw,2021.566620,20210726 1937,114.000,5.000,22.150,0.020,2021-07-26 19:37:00+00:00,4.282,107.533
brw,2021.588400,20210803 1822,114.000,7.700,22.170,0.000,2021-08-03 18:22:00+00:00,6.922,116.100
brw,2021.615810,20210813 1830,255.000,6.800,22.330,0.010,2021-08-13 18:30:00+00:00,3.505,269.500
brw,2021.649380,20210826 0033,105.000,6.700,22.120,0.000,2021-08-26 00:33:00+00:00,6.495,132.200
brw,2021.665280,20210831 1953,78.000,5.100,22.180,0.050,2021-08-31 19:53:00+00:00,4.155,89.699
brw,2021.689790,20210909 1835,72.000,5.400,22.140,0.010,2021-09-09 18:35:00+00:00,5.000,90.750
brw,2021.731120,20210924 2035,163.300,4.200,22.050,0.010,2021-09-24 20:35:00+00:00,3.293,111.084
brw,2021.739130,20210927 1849,113.000,7.800,22.030,0.030,2021-09-27 18:49:00+00:00,7.155,100.817
brw,2021.763730,20211006 1817,112.000,5.200,22.100,0.040,2021-10-06 18:17:00+00:00,5.075,117.000
brw,2021.780250,20211012 1900,93.000,11.100,21.910,0.030,2021-10-12 19:00:00+00:00,10.260,80.000
brw,2021.802120,20211020 1832,78.000,14.400,22.030,0.080,2021-10-20 18:32:00+00:00,11.857,69.067
brw,2021.815840,20211025 1844,75.000,7.200,22.110,0.020,2021-10-25 18:44:00+00:00,6.779,82.800
brw,2021.846000,20211105 1856,73.000,15.500,22.190,0.080,2021-11-05 18:56:00+00:00,11.057,80.133
brw,2021.854390,20211108 2030,108.000,5.800,22.030,0.040,2021-11-08 20:30:00+00:00,4.840,88.500
brw,2021.887770,20211121 0051,322.800,3.400,22.200,0.080,2021-11-21 00:51:00+00:00,4.559,341.700
brw,2021.898320,20211124 2119,64.100,5.800,22.220,0.250,2021-11-24 21:19:00+00:00,5.204,43.000
brw,2021.911830,20211129 1938,88.600,4.200,22.140,0.050,2021-11-29 19:38:00+00:00,4.129,48.000
brw,2021.942060,20211210 2029,202.000,1.400,22.120,0.000,2021-12-10 20:29:00+00:00,1.608,178.512
brw,2021.958480,20211216 2017,79.000,15.400,22.190,0.120,2021-12-16 20:17:00+00:00,11.776,80.000
brw,2021.980370,20211224 2003,245.600,11.410,22.160,0.000,2021-12-24 20:03:00+00:00,5.469,255.050
brw,2021.999570,20211231 2014,338.500,5.590,22.120,0.120,2021-12-31 20:14:00+00:00,3.299,342.601
brw,2022.018680,20220107 1939,330.000,4.900,22.180,0.080,2022-01-07 19:39:00+00:00,4.194,338.650
brw,2022.035540,20220113 2320,45.000,3.700,22.170,0.040,2022-01-13 23:20:00+00:00,4.610,41.000
brw,2022.057320,20220121 2209,54.000,6.500,22.150,0.020,2022-01-21 22:09:00+00:00,7.710,64.150
brw,2022.065530,20220124 2200,107.000,10.200,22.000,0.040,2022-01-24 22:00:00+00:00,6.220,116.000
brw,2022.095360,20220204 1919,207.400,3.500,21.730,0.100,2022-02-04 19:19:00+00:00,4.457,207.317
brw,2022.109760,20220210 0132,68.000,5.900,22.000,0.060,2022-02-10 01:32:00+00:00,5.843,37.599
brw,2022.133810,20220218 2011,11.000,3.800,22.040,0.060,2022-02-18 20:11:00+00:00,4.609,25.633
brw,2022.150470,20220224 2207,53.000,5.400,21.920,0.040,2022-02-24 22:07:00+00:00,7.076,68.583
brw,2022.172430,20220304 2230,80.000,3.900,21.990,0.090,2022-03-04 22:30:00+00:00,4.550,90.000
brw,2022.180780,20220307 2340,68.000,3.700,21.910,0.010,2022-03-07 23:40:00+00:00,4.020,63.000
brw,2022.210640,20220318 2111,244.000,4.800,22.020,0.020,2022-03-18 21:11:00+00:00,5.919,256.901
brw,2022.221250,20220322 1810,105.000,4.600,22.070,0.050,2022-03-22 18:10:00+00:00,4.972,109.333
brw,2022.237740,20220328 1835,71.400,11.200,21.900,0.020,2022-03-28 18:35:00+00:00,10.102,84.833
brw,2022.262880,20220406 2251,86.000,5.200,21.980,0.080,2022-04-06 22:51:00+00:00,5.857,91.450
brw,2022.284480,20220414 2004,79.300,18.570,21.900,0.030,2022-04-14 20:04:00+00:00,7.633,84.867
brw,2022.297900,20220419 1738,51.660,4.700,22.060,0.010,2022-04-19 17:38:00+00:00,5.070,74.466
brw,2022.317680,20220426 2255,67.000,6.200,22.180,0.020,2022-04-26 22:55:00+00:00,6.612,58.000
brw,2022.344550,20220506 1816,88.000,6.800,22.260,0.210,2022-05-06 18:16:00+00:00,6.163,87.000
brw,2022.358290,20220511 1835,261.300,17.700,22.050,0.100,2022-05-11 18:35:00+00:00,9.182,271.500
brw,2022.375090,20220517 2147,120.600,7.160,22.260,0.050,2022-05-17 21:47:00+00:00,4.013,88.083
brw,2022.402320,20220527 2022,151.000,7.700,22.100,0.040,2022-05-27 20:22:00+00:00,6.342,145.566
brw,2022.413170,20220531 1921,112.000,6.800,22.070,0.030,2022-05-31 19:21:00+00:00,7.588,141.147
brw,2022.429660,20220606 1948,75.000,7.800,21.950,0.050,2022-06-06 19:48:00+00:00,8.306,82.000
brw,2022.449030,20220613 2132,60.500,6.500,21.920,0.080,2022-06-13 21:32:00+00:00,8.385,85.467
brw,2022.476200,20220623 1930,107.000,1.800,21.930,0.000,2022-06-23 19:30:00+00:00,5.150,245.000
brw,2022.498130,20220701 1939,342.000,3.900,21.970,0.000,2022-07-01 19:39:00+00:00,4.107,21.300
brw,2022.536500,20220715 1946,263.000,5.900,22.070,0.050,2022-07-15 19:46:00+00:00,5.086,258.767
brw,2022.544540,20220718 1808,82.300,16.110,21.810,0.000,2022-07-18 18:08:00+00:00,5.633,103.064
brw,2022.563760,20220725 1834,91.400,18.000,21.810,0.040,2022-07-25 18:34:00+00:00,10.497,81.000
brw,2022.582900,20220801 1813,62.900,5.500,21.920,0.130,2022-08-01 18:13:00+00:00,3.910,99.553
brw,2022.602270,20220808 1954,120.000,6.300,22.000,0.240,2022-08-08 19:54:00+00:00,4.171,85.900
brw,2022.632180,20220819 1756,52.000,4.600,21.760,0.030,2022-08-19 17:56:00+00:00,3.480,47.055
brw,2022.640500,20220822 1844,83.000,13.900,21.760,0.060,2022-08-22 18:44:00+00:00,11.099,90.333
brw,2022.659550,20220829 1741,109.000,4.400,21.920,0.100,2022-08-29 17:41:00+00:00,4.205,90.000
brw,2022.687080,20220908 1848,99.000,4.800,21.940,0.180,2022-09-08 18:48:00+00:00,5.344,92.800
brw,2022.698040,20220912 1850,80.000,9.500,21.940,0.040,2022-09-12 18:50:00+00:00,10.592,85.500
brw,2022.725350,20220922 1806,72.000,4.700,21.920,0.000,2022-09-22 18:06:00+00:00,6.516,80.300
brw,2022.736570,20220926 2023,63.000,5.900,21.840,0.090,2022-09-26 20:23:00+00:00,6.761,76.850
brw,2022.766540,20221007 1856,202.000,7.000,21.840,0.020,2022-10-07 18:56:00+00:00,14.361,218.734
brw,2022.785730,20221014 1900,278.000,2.500,21.820,0.010,2022-10-14 19:00:00+00:00,6.890,283.000
brw,2022.793970,20221017 1912,57.000,6.100,21.790,0.010,2022-10-17 19:12:00+00:00,8.324,56.600
brw,2022.843070,20221104 1715,91.000,5.300,21.790,0.030,2022-11-04 17:15:00+00:00,8.510,81.750
brw,2022.852560,20221108 0423,110.000,10.200,21.780,0.050,2022-11-08 04:23:00+00:00,10.056,105.150
brw,2022.889950,20221121 1956,78.000,9.800,21.860,0.020,2022-11-21 19:56:00+00:00,9.401,65.133
brw,2022.920320,20221202 2158,255.100,7.500,21.920,0.000,2022-12-02 21:58:00+00:00,13.858,248.033
brw,2022.933970,20221207 2134,111.000,6.400,21.520,0.040,2022-12-07 21:34:00+00:00,5.381,118.000
brw,2022.958380,20221216 1924,275.000,5.300,21.930,0.090,2022-12-16 19:24:00+00:00,5.024,275.400
brw,2022.974850,20221222 1940,103.000,6.900,21.850,0.030,2022-12-22 19:40:00+00:00,6.247,89.003
brw,2022.985860,20221226 2009,65.500,5.400,21.800,0.090,2022-12-26 20:09:00+00:00,8.353,72.000
brw,2023.013530,20230105 2230,76.000,7.600,21.720,0.010,2023-01-05 22:30:00+00:00,12.345,95.000
brw,2023.026830,20230110 1903,48.000,5.200,21.620,0.020,2023-01-10 19:03:00+00:00,7.889,60.950
brw,2023.046130,20230117 2007,53.300,9.900,21.720,0.010,2023-01-17 20:07:00+00:00,9.616,55.117
brw,2023.068100,20230125 2031,45.000,4.600,21.600,0.040,2023-01-25 20:31:00+00:00,7.740,50.517
brw,2023.081740,20230130 2001,87.000,8.600,21.610,0.010,2023-01-30 20:01:00+00:00,8.415,90.967
brw,2023.101330,20230206 2340,63.500,4.600,21.690,0.100,2023-02-06 23:40:00+00:00,4.030,46.000
brw,2023.123060,20230214 2202,53.470,6.110,21.340,0.070,2023-02-14 22:02:00+00:00,6.946,75.000
brw,2023.142070,20230221 2032,105.000,5.800,21.700,0.000,2023-02-21 20:32:00+00:00,6.365,122.067
brw,2023.161270,20230228 2041,60.800,11.600,21.650,0.020,2023-02-28 20:41:00+00:00,5.466,90.101
brw,2023.177880,20230306 2215,124.200,9.200,21.780,0.080,2023-03-06 22:15:00+00:00,7.803,148.500
brw,2023.208380,20230318 0123,170.000,2.000,21.510,0.060,2023-03-18 01:23:00+00:00,3.785,203.169
